handle,slug,title,brand,categories,gender,family_ro,notes,notes_top,notes_heart,notes_base,description,is_new,is_hit,volume,sku,price,old_price,stock
NA-PALE-LINEN,nord-atelier-pale-linen,Pale Linen,nord-atelier,unisex,unisex,fresh,lamaie|mosc|iris,lamaie,iris,mosc,Textil curat și mosc alb — cea mai simplă formă de prospețime.,0,0,5ml,NA-PL-05,200,,14
NA-PALE-LINEN,nord-atelier-pale-linen,Pale Linen,nord-atelier,unisex,unisex,fresh,lamaie|mosc|iris,lamaie,iris,mosc,Textil curat și mosc alb — cea mai simplă formă de prospețime.,0,0,10ml,NA-PL-10,360,,9
NA-PALE-LINEN,nord-atelier-pale-linen,Pale Linen,nord-atelier,unisex,unisex,fresh,lamaie|mosc|iris,lamaie,iris,mosc,Textil curat și mosc alb — cea mai simplă formă de prospețime.,0,0,Full Size,NA-PL-30,840,,6
NA-STONE-GARDEN,nord-atelier-stone-garden,Stone Garden,nord-atelier,unisex,unisex,chypre,bergamota|trandafir|cedru,bergamota,trandafir,cedru,"Piatră udă, trandafir și lemn: o grădină după ploaie.",0,0,5ml,NA-SG-05,230,,3
NA-STONE-GARDEN,nord-atelier-stone-garden,Stone Garden,nord-atelier,unisex,unisex,chypre,bergamota|trandafir|cedru,bergamota,trandafir,cedru,"Piatră udă, trandafir și lemn: o grădină după ploaie.",0,0,10ml,NA-SG-10,400,,2
NA-STONE-GARDEN,nord-atelier-stone-garden,Stone Garden,nord-atelier,unisex,unisex,chypre,bergamota|trandafir|cedru,bergamota,trandafir,cedru,"Piatră udă, trandafir și lemn: o grădină după ploaie.",0,0,Full Size,NA-SG-30,940,,1
NA-WINTER-ARCHIVE,nord-atelier-winter-archive,Winter Archive,nord-atelier,unisex,unisex,woody,cedru|iris|mosc,iris,cedru,mosc,Ediție de arhivă: cedru rece și iris. Momentan epuizat.,0,0,5ml,NA-WA-05,250,,0
NA-WINTER-ARCHIVE,nord-atelier-winter-archive,Winter Archive,nord-atelier,unisex,unisex,woody,cedru|iris|mosc,iris,cedru,mosc,Ediție de arhivă: cedru rece și iris. Momentan epuizat.,0,0,10ml,NA-WA-10,430,,0
NA-WINTER-ARCHIVE,nord-atelier-winter-archive,Winter Archive,nord-atelier,unisex,unisex,woody,cedru|iris|mosc,iris,cedru,mosc,Ediție de arhivă: cedru rece și iris. Momentan epuizat.,0,0,Full Size,NA-WA-30,990,,0
MO-AMBER-SALE,maison-orphee-amber-sale,Amber Sale,maison-orphee,unisex,unisex,oriental,vanilie|piper-negru|santal,piper-negru,vanilie,santal,Chihlimbar cald cu piper — ediție de sezon la preț redus.,0,0,5ml,MO-AS-05,200,250,9
MO-AMBER-SALE,maison-orphee-amber-sale,Amber Sale,maison-orphee,unisex,unisex,oriental,vanilie|piper-negru|santal,piper-negru,vanilie,santal,Chihlimbar cald cu piper — ediție de sezon la preț redus.,0,0,10ml,MO-AS-10,380,,6
MO-AMBER-SALE,maison-orphee-amber-sale,Amber Sale,maison-orphee,unisex,unisex,oriental,vanilie|piper-negru|santal,piper-negru,vanilie,santal,Chihlimbar cald cu piper — ediție de sezon la preț redus.,0,0,Full Size,MO-AS-30,800,1200,4
CL-VANILIE-CALDA,casa-lumina-vanilie-calda,Vanilie Caldă,casa-lumina,femei,female,oriental,vanilie|mosc,bergamota,vanilie,mosc,"Vanilie de bucătărie, fără dulceață excesivă.",0,0,5ml,CL-VC-05,150,,20
CL-VANILIE-CALDA,casa-lumina-vanilie-calda,Vanilie Caldă,casa-lumina,femei,female,oriental,vanilie|mosc,bergamota,vanilie,mosc,"Vanilie de bucătărie, fără dulceață excesivă.",0,0,10ml,CL-VC-10,260,,15
CL-VANILIE-CALDA,casa-lumina-vanilie-calda,Vanilie Caldă,casa-lumina,femei,female,oriental,vanilie|mosc,bergamota,vanilie,mosc,"Vanilie de bucătărie, fără dulceață excesivă.",0,0,Full Size,CL-VC-30,590,,9
CL-TRANDAFIR-DE-MAI,casa-lumina-trandafir-de-mai,Trandafir de Mai,casa-lumina,femei,female,floral,trandafir|iasomie|mosc,iasomie,trandafir,mosc,"Trandafir proaspăt tăiat, fără nostalgie.",0,1,5ml,CL-TM-05,160,,11
CL-TRANDAFIR-DE-MAI,casa-lumina-trandafir-de-mai,Trandafir de Mai,casa-lumina,femei,female,floral,trandafir|iasomie|mosc,iasomie,trandafir,mosc,"Trandafir proaspăt tăiat, fără nostalgie.",0,1,10ml,CL-TM-10,270,,8
CL-TRANDAFIR-DE-MAI,casa-lumina-trandafir-de-mai,Trandafir de Mai,casa-lumina,femei,female,floral,trandafir|iasomie|mosc,iasomie,trandafir,mosc,"Trandafir proaspăt tăiat, fără nostalgie.",0,1,Full Size,CL-TM-30,620,,4
CL-PIPER-SI-LEMN,casa-lumina-piper-si-lemn,Piper și Lemn,casa-lumina,barbati,male,fougere,piper-negru|cedru|santal,piper-negru,cedru,santal,Condimente uscate și lemn — pentru serile de toamnă.,0,0,5ml,CL-PL-05,155,,7
CL-PIPER-SI-LEMN,casa-lumina-piper-si-lemn,Piper și Lemn,casa-lumina,barbati,male,fougere,piper-negru|cedru|santal,piper-negru,cedru,santal,Condimente uscate și lemn — pentru serile de toamnă.,0,0,10ml,CL-PL-10,265,,6
CL-PIPER-SI-LEMN,casa-lumina-piper-si-lemn,Piper și Lemn,casa-lumina,barbati,male,fougere,piper-negru|cedru|santal,piper-negru,cedru,santal,Condimente uscate și lemn — pentru serile de toamnă.,0,0,Full Size,CL-PL-30,600,,3
CL-SET-DESCOPERIRE,casa-lumina-set-descoperire,Set Descoperire,casa-lumina,seturi|unisex,unisex,fresh,bergamota|iasomie|cedru,bergamota,iasomie,cedru,Trei mostre de 2 ml pentru a găsi aroma potrivită.,1,0,3ml,CL-SD-06,180,,25
CL-SET-DESCOPERIRE,casa-lumina-set-descoperire,Set Descoperire,casa-lumina,seturi|unisex,unisex,fresh,bergamota|iasomie|cedru,bergamota,iasomie,cedru,Trei mostre de 2 ml pentru a găsi aroma potrivită.,1,0,Travel Size,CL-SD-12,320,360,12
