handle,title,brand,categories,gender,family_ro,family_ru,family_en,notes,notes_top,notes_heart,notes_base,description_ro,description_ru,description_en,images,is_new,is_hit,volume,sku,price,old_price,stock,is_active
MA-NARISSA-ET-MOI,Narissa et Moi Eau de Parfum,maison-alhambra,femei,female,Oriental Floral,Ориентальный Цветочный,Oriental Floral,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,ambra|caramel|casmir|cedru|cocos|lapte,"Un parfum fructat-floral de lux cu accente gourmand. Coacăze negre și piersică deschid senzual, un buchet floral bogat adaugă rafinament, iar o bază caldă de caramel și ambră lasă un sillage irezistibil.","Роскошный фруктово-флоральный гурманский аромат. Сочные смородина и персик открывают композицию, богатый цветочный букет добавляет изысканность, а тёплая кремовая база из карамели и амбры оставляет неотразимый шлейф.","A luxurious fruity-floral gourmand fragrance. Juicy blackcurrant and peach open the scent, a rich floral bouquet adds refinement, and a warm creamy base of caramel and amber leaves an irresistible trail.",Maison Alhambra — Narissa et Moi - 1.jpg|Maison Alhambra — Narissa et Moi - 2.webp|Maison Alhambra — Narissa et Moi - 3.webp,,0,10ml,MA-NM-100,200,,,1
MA-NARISSA-ET-MOI,Narissa et Moi Eau de Parfum,maison-alhambra,femei,female,Oriental Floral,Ориентальный Цветочный,Oriental Floral,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,ambra|caramel|casmir|cedru|cocos|lapte,"Un parfum fructat-floral de lux cu accente gourmand. Coacăze negre și piersică deschid senzual, un buchet floral bogat adaugă rafinament, iar o bază caldă de caramel și ambră lasă un sillage irezistibil.","Роскошный фруктово-флоральный гурманский аромат. Сочные смородина и персик открывают композицию, богатый цветочный букет добавляет изысканность, а тёплая кремовая база из карамели и амбры оставляет неотразимый шлейф.","A luxurious fruity-floral gourmand fragrance. Juicy blackcurrant and peach open the scent, a rich floral bouquet adds refinement, and a warm creamy base of caramel and amber leaves an irresistible trail.",Maison Alhambra — Narissa et Moi - 1.jpg|Maison Alhambra — Narissa et Moi - 2.webp|Maison Alhambra — Narissa et Moi - 3.webp,,0,Full Size,MA-NM-100,800,,,1
MA-SMOKY-TOUCH,Smoky Touch Eau de Parfum,maison-alhambra,unisex,unisex,Oriental Cuir,Ориентальный Кожаный,Oriental Leather,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,ambrettolide|ambrocenide|ambroxan-ambroxide,ambrettolide|ambrocenide|ambroxan-ambroxide,"Îndrăzneț și luxos — piele bogată întâlnește condimente exotice, tămâie aromatică și subtonuri calde de pământ. Un parfum intens, puternic, care atrage atenția. Perfect pentru seri speciale.","Смелый и роскошный аромат с насыщенной кожей и экзотическими специями. Шафран и животные ноты создают интригующее начало, кожа с малиной и ладаном формируют сложное сердце, тёплая амбра завершает композицию. Для особых вечеров.","Bold and luxurious — rich leather meets exotic spices, smoky incense, and warm earthy undertones. An intense, powerful fragrance that commands attention. Perfect for special occasions and cool evenings.",Maison Alhambra — Smoky Touch - 1.webp|Maison Alhambra — Smoky Touch - 2.jpg|Maison Alhambra — Smoky Touch - 3.webp,,0,5ml,MA-ST-80,100,,,1
MA-SMOKY-TOUCH,Smoky Touch Eau de Parfum,maison-alhambra,unisex,unisex,Oriental Cuir,Ориентальный Кожаный,Oriental Leather,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,ambrettolide|ambrocenide|ambroxan-ambroxide,ambrettolide|ambrocenide|ambroxan-ambroxide,"Îndrăzneț și luxos — piele bogată întâlnește condimente exotice, tămâie aromatică și subtonuri calde de pământ. Un parfum intens, puternic, care atrage atenția. Perfect pentru seri speciale.","Смелый и роскошный аромат с насыщенной кожей и экзотическими специями. Шафран и животные ноты создают интригующее начало, кожа с малиной и ладаном формируют сложное сердце, тёплая амбра завершает композицию. Для особых вечеров.","Bold and luxurious — rich leather meets exotic spices, smoky incense, and warm earthy undertones. An intense, powerful fragrance that commands attention. Perfect for special occasions and cool evenings.",Maison Alhambra — Smoky Touch - 1.webp|Maison Alhambra — Smoky Touch - 2.jpg|Maison Alhambra — Smoky Touch - 3.webp,,0,10ml,MA-ST-80,200,,,1
MA-SMOKY-TOUCH,Smoky Touch Eau de Parfum,maison-alhambra,unisex,unisex,Oriental Cuir,Ориентальный Кожаный,Oriental Leather,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,ambrettolide|ambrocenide|ambroxan-ambroxide,ambrettolide|ambrocenide|ambroxan-ambroxide,"Îndrăzneț și luxos — piele bogată întâlnește condimente exotice, tămâie aromatică și subtonuri calde de pământ. Un parfum intens, puternic, care atrage atenția. Perfect pentru seri speciale.","Смелый и роскошный аромат с насыщенной кожей и экзотическими специями. Шафран и животные ноты создают интригующее начало, кожа с малиной и ладаном формируют сложное сердце, тёплая амбра завершает композицию. Для особых вечеров.","Bold and luxurious — rich leather meets exotic spices, smoky incense, and warm earthy undertones. An intense, powerful fragrance that commands attention. Perfect for special occasions and cool evenings.",Maison Alhambra — Smoky Touch - 1.webp|Maison Alhambra — Smoky Touch - 2.jpg|Maison Alhambra — Smoky Touch - 3.webp,,0,Full Size,MA-ST-80,800,,,1
PC-CARAMEL-BASH,Caramel Bash Eau de Parfum,paris-corner,unisex,unisex,Oriental Vanilat,Ориентальный Ванильный,Oriental Vanilla,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,ambrettolide|ambrocenide|ambroxan-ambroxide,"Un parfum gourmand bogat, echilibrând condimente calde, flori delicate și dulceață profundă. Bergamotă și cardamom deschid vibrant, inima florală adaugă eleganță, iar caramelul cu oud creează un final irezistibil de adictiv.","Насыщенный гурманский аромат с тёплыми специями, нежными цветами и глубокой сладостью. Бергамот и кардамон дают яркое начало, цветочное сердце добавляет элегантность, а карамель с удом создают аддиктивный финиш.","A rich gourmand fragrance balancing warm spices, soft florals, and deep sweetness. Bergamot and cardamom give a bold opening, a floral heart adds elegance, and caramel with oud create an irresistibly addictive drydown.",Paris Corner — Caramel Bash - 1.webp|Paris Corner — Caramel Bash - 3.webp,,0,5ml,PC-CB-100,100,,,1
PC-CARAMEL-BASH,Caramel Bash Eau de Parfum,paris-corner,unisex,unisex,Oriental Vanilat,Ориентальный Ванильный,Oriental Vanilla,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,ambrettolide|ambrocenide|ambroxan-ambroxide,"Un parfum gourmand bogat, echilibrând condimente calde, flori delicate și dulceață profundă. Bergamotă și cardamom deschid vibrant, inima florală adaugă eleganță, iar caramelul cu oud creează un final irezistibil de adictiv.","Насыщенный гурманский аромат с тёплыми специями, нежными цветами и глубокой сладостью. Бергамот и кардамон дают яркое начало, цветочное сердце добавляет элегантность, а карамель с удом создают аддиктивный финиш.","A rich gourmand fragrance balancing warm spices, soft florals, and deep sweetness. Bergamot and cardamom give a bold opening, a floral heart adds elegance, and caramel with oud create an irresistibly addictive drydown.",Paris Corner — Caramel Bash - 1.webp|Paris Corner — Caramel Bash - 3.webp,,0,10ml,PC-CB-100,200,,,1
PC-CARAMEL-BASH,Caramel Bash Eau de Parfum,paris-corner,unisex,unisex,Oriental Vanilat,Ориентальный Ванильный,Oriental Vanilla,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,ambrettolide|ambrocenide|ambroxan-ambroxide,"Un parfum gourmand bogat, echilibrând condimente calde, flori delicate și dulceață profundă. Bergamotă și cardamom deschid vibrant, inima florală adaugă eleganță, iar caramelul cu oud creează un final irezistibil de adictiv.","Насыщенный гурманский аромат с тёплыми специями, нежными цветами и глубокой сладостью. Бергамот и кардамон дают яркое начало, цветочное сердце добавляет элегантность, а карамель с удом создают аддиктивный финиш.","A rich gourmand fragrance balancing warm spices, soft florals, and deep sweetness. Bergamot and cardamom give a bold opening, a floral heart adds elegance, and caramel with oud create an irresistibly addictive drydown.",Paris Corner — Caramel Bash - 1.webp|Paris Corner — Caramel Bash - 3.webp,,0,Full Size,PC-CB-100,800,,,1
PC-DECEMBER-AMBAR,December Ambar Eau de Parfum,paris-corner,unisex,unisex,Oriental Chihlimbar,Ориентальный Янтарный,Oriental Amber,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,almond|amber|ambergris|amber-xtreme,ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,"O odă iernii — misterios, luminos și irezistibil de cald. Cocos, măr și anason creează o deschidere proaspătă, șofranul și pruna adaugă profunzime orientală, iar baza de caramel și ambră învelește pielea în căldură aurie.","Ода зиме — загадочный, светящийся и неотразимо уютный аромат. Кокос, яблоко и анис создают свежее начало, шафран и слива придают восточный характер, а карамельно-янтарная база обволакивает теплом.","An ode to winter — mysterious, luminous, and irresistibly comforting. Coconut, apple and anise create a fresh opening, saffron and plum add oriental depth, and a caramel-amber base wraps the skin in golden warmth.",Paris Corner — December Ambar - 1.jpg|Paris Corner — December Ambar - 2.png|Paris Corner — December Ambar - 3.webp,,0,5ml,PC-DA-100,100,,,1
PC-DECEMBER-AMBAR,December Ambar Eau de Parfum,paris-corner,unisex,unisex,Oriental Chihlimbar,Ориентальный Янтарный,Oriental Amber,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,almond|amber|ambergris|amber-xtreme,ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,"O odă iernii — misterios, luminos și irezistibil de cald. Cocos, măr și anason creează o deschidere proaspătă, șofranul și pruna adaugă profunzime orientală, iar baza de caramel și ambră învelește pielea în căldură aurie.","Ода зиме — загадочный, светящийся и неотразимо уютный аромат. Кокос, яблоко и анис создают свежее начало, шафран и слива придают восточный характер, а карамельно-янтарная база обволакивает теплом.","An ode to winter — mysterious, luminous, and irresistibly comforting. Coconut, apple and anise create a fresh opening, saffron and plum add oriental depth, and a caramel-amber base wraps the skin in golden warmth.",Paris Corner — December Ambar - 1.jpg|Paris Corner — December Ambar - 2.png|Paris Corner — December Ambar - 3.webp,,0,10ml,PC-DA-100,200,,,1
PC-DECEMBER-AMBAR,December Ambar Eau de Parfum,paris-corner,unisex,unisex,Oriental Chihlimbar,Ориентальный Янтарный,Oriental Amber,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,almond|amber|ambergris|amber-xtreme,ambrettolide|ambrocenide|ambroxan-ambroxide,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,"O odă iernii — misterios, luminos și irezistibil de cald. Cocos, măr și anason creează o deschidere proaspătă, șofranul și pruna adaugă profunzime orientală, iar baza de caramel și ambră învelește pielea în căldură aurie.","Ода зиме — загадочный, светящийся и неотразимо уютный аромат. Кокос, яблоко и анис создают свежее начало, шафран и слива придают восточный характер, а карамельно-янтарная база обволакивает теплом.","An ode to winter — mysterious, luminous, and irresistibly comforting. Coconut, apple and anise create a fresh opening, saffron and plum add oriental depth, and a caramel-amber base wraps the skin in golden warmth.",Paris Corner — December Ambar - 1.jpg|Paris Corner — December Ambar - 2.png|Paris Corner — December Ambar - 3.webp,,0,Full Size,PC-DA-100,800,,,1
PC-DECEMBER-VANILLA,December Vanilla Eau de Parfum,paris-corner,unisex,unisex,Oriental Vanilat,Ориентальный Ванильный,Oriental Vanilla,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,almond|amber|ambergris|amber-xtreme,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,ambrettolide|ambrocenide|ambroxan-ambroxide,"Un parfum oriental de lux, transportând purtătorul într-o lume de opulență și rafinament. Rom, orhidee și vanilie deschid cu caracter bogat, o inimă picantă de crème brûlée adaugă căldură, iar baza de oud și patchouli lasă o amprentă de neuitat.","Роскошный восточный аромат, переносящий в мир опулентности и утончённости. Ром, орхидея и ваниль дают яркое начало, пряное сердце с крем-брюле добавляет тепло и соблазн, а тёмная база из уда и пачули оставляет незабываемый шлейф.","A fragrance transporting you to a world of oriental luxury and refinement. Rum, orchid and vanilla open with rich character, a spiced crème brûlée heart adds warmth and temptation, and a deep base of oud and patchouli leaves an unforgettable impression.",Paris Corner — December Vanilla -1.webp|Paris Corner — December Vanilla - 2.webp|Paris Corner — December Vanilla - 3.webp,,0,5ml,PC-DV-85,100,,,1
PC-DECEMBER-VANILLA,December Vanilla Eau de Parfum,paris-corner,unisex,unisex,Oriental Vanilat,Ориентальный Ванильный,Oriental Vanilla,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,almond|amber|ambergris|amber-xtreme,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,ambrettolide|ambrocenide|ambroxan-ambroxide,"Un parfum oriental de lux, transportând purtătorul într-o lume de opulență și rafinament. Rom, orhidee și vanilie deschid cu caracter bogat, o inimă picantă de crème brûlée adaugă căldură, iar baza de oud și patchouli lasă o amprentă de neuitat.","Роскошный восточный аромат, переносящий в мир опулентности и утончённости. Ром, орхидея и ваниль дают яркое начало, пряное сердце с крем-брюле добавляет тепло и соблазн, а тёмная база из уда и пачули оставляет незабываемый шлейф.","A fragrance transporting you to a world of oriental luxury and refinement. Rum, orchid and vanilla open with rich character, a spiced crème brûlée heart adds warmth and temptation, and a deep base of oud and patchouli leaves an unforgettable impression.",Paris Corner — December Vanilla -1.webp|Paris Corner — December Vanilla - 2.webp|Paris Corner — December Vanilla - 3.webp,,0,10ml,PC-DV-85,200,,,1
PC-DECEMBER-VANILLA,December Vanilla Eau de Parfum,paris-corner,unisex,unisex,Oriental Vanilat,Ориентальный Ванильный,Oriental Vanilla,aldehyde-c-10|aldehyde-c-12-mna|aldehydes|almond|amber|ambergris|amber-xtreme|ambrettolide|ambrocenide|ambroxan-ambroxide,almond|amber|ambergris|amber-xtreme,aldehyde-c-10|aldehyde-c-12-mna|aldehydes,ambrettolide|ambrocenide|ambroxan-ambroxide,"Un parfum oriental de lux, transportând purtătorul într-o lume de opulență și rafinament. Rom, orhidee și vanilie deschid cu caracter bogat, o inimă picantă de crème brûlée adaugă căldură, iar baza de oud și patchouli lasă o amprentă de neuitat.","Роскошный восточный аромат, переносящий в мир опулентности и утончённости. Ром, орхидея и ваниль дают яркое начало, пряное сердце с крем-брюле добавляет тепло и соблазн, а тёмная база из уда и пачули оставляет незабываемый шлейф.","A fragrance transporting you to a world of oriental luxury and refinement. Rum, orchid and vanilla open with rich character, a spiced crème brûlée heart adds warmth and temptation, and a deep base of oud and patchouli leaves an unforgettable impression.",Paris Corner — December Vanilla -1.webp|Paris Corner — December Vanilla - 2.webp|Paris Corner — December Vanilla - 3.webp,,0,Full Size,PC-DV-85,800,,,1
